Number,Name,Type 1,Type 2,Abilities,HP,Att,Def,Spa,Spd,Spe,BST,Mean,Standard Deviation,Generation,Experience type,Experience to level 100,Final Evolution,Catch Rate,Legendary,Mega Evolution,Alolan Form,Galarian Form,Against Normal,Against Fire,Against Water,Against Electric,Against Grass,Against Ice,Against Fighting,Against Poison,Against Ground,Against Flying,Against Psychic,Against Bug,Against Rock,Against Ghost,Against Dragon,Against Dark,Against Steel,Against Fairy,Height,Weight,BMI
10,Caterpie,벌레,,"['Run Away', 'Shield Dust']",45,30,35,20,20,45,195,32.5,10.307764064044152,1.0,Medium Fast,1000000,0.0,255,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.3,2.9,32.2
11,Metapod,벌레,,['Shed Skin'],50,20,55,25,25,30,205,34.166666666666664,13.359349618234496,1.0,Medium Fast,1000000,0.0,120,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.7,9.9,20.2
12,Butterfree,벌레,비행,['Tinted Lens'],60,45,50,90,80,70,395,65.83333333333333,15.920810978785664,1.0,Medium Fast,1000000,1.0,45,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0,1.1,32.0,26.4
13,Weedle,벌레,독,"['Run Away', 'Shield Dust']",40,35,30,20,20,50,195,32.5,10.70436048222094,1.0,Medium Fast,1000000,0.0,255,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,0.3,3.2,35.6
14,Kakuna,벌레,독,['Shed Skin'],45,25,50,25,25,35,205,34.166666666666664,10.172129679778084,1.0,Medium Fast,1000000,0.0,120,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,0.6,10.0,27.8
15,Beedrill,벌레,독,"['Sniper', 'Swarm']",65,90,40,45,80,75,395,65.83333333333333,18.12380264244296,1.0,Medium Fast,1000000,1.0,45,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,1.0,29.5,29.5
15,Mega Beedrill,벌레,독,['Adaptability'],65,150,40,15,80,145,495,82.5,50.22864388639879,6.0,Medium Fast,1000000,1.0,45,0.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,1.4,40.5,20.7
16,Pidgey,노말,비행,"['Big Pecks', 'Keen Eye', 'Tangled Feet']",40,45,40,35,35,56,251,41.833333333333336,7.197607627229727,1.0,Medium Slow,1059860,0.0,255,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,0.3,1.8,20.0
17,Pidgeotto,노말,비행,"['Big Pecks', 'Keen Eye', 'Tangled Feet']",63,60,55,50,50,71,349,58.16666666666666,7.470311610338324,1.0,Medium Slow,1059860,0.0,120,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,1.1,30.0,24.8
18,Pidgeot,노말,비행,"['Big Pecks', 'Keen Eye', 'Tangled Feet']",83,80,75,70,70,101,479,79.83333333333333,10.605292179955356,1.0,Medium Slow,1059860,1.0,45,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,1.5,39.5,17.6
18,Mega Pidgeot,노말,비행,['No Guard'],83,80,80,135,80,121,579,96.5,22.66237704507921,6.0,Medium Slow,1059860,1.0,45,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,2.2,50.5,10.4
19,Rattata,노말,,"['Guts', 'Hustle', 'Run Away']",30,56,35,25,35,72,253,42.16666666666666,16.46629554237652,1.0,Medium Fast,1000000,0.0,255,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.3,3.5,38.9
19,Alolan Rattata,악,노말,"['Gluttony', 'Hustle', 'Thick Fat']",30,56,35,25,35,72,253,42.16666666666666,16.46629554237652,7.0,Medium Fast,1000000,0.0,255,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.5,1.0,2.0,0.3,3.8,42.2
20,Raticate,노말,,"['Guts', 'Hustle', 'Run Away']",55,81,60,50,70,97,413,68.83333333333333,16.15979235290135,1.0,Medium Fast,1000000,1.0,127,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.7,18.5,37.8
20,Alolan Raticate,악,노말,"['Gluttony', 'Hustle', 'Thick Fat']",75,71,70,40,80,77,413,68.83333333333333,13.334374959313074,7.0,Medium Fast,1000000,1.0,127,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.5,1.0,2.0,0.7,25.5,52.0
21,Spearow,노말,비행,"['Keen Eye', 'Sniper']",40,60,30,31,31,70,262,43.66666666666666,15.712698332523566,1.0,Medium Fast,1000000,0.0,255,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,0.3,2.0,22.2
22,Fearow,노말,비행,"['Keen Eye', 'Sniper']",65,90,65,61,61,100,442,73.66666666666667,15.445243784270794,1.0,Medium Fast,1000000,1.0,90,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,1.2,38.0,26.4
23,Ekans,독,,"['Intimidate', 'Shed Skin', 'Unnerve']",35,60,44,40,54,55,288,48.0,8.925618559330589,1.0,Medium Fast,1000000,0.0,255,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,2.0,6.9,1.7
24,Arbok,독,,"['Intimidate', 'Shed Skin', 'Unnerve']",60,95,69,65,79,80,448,74.66666666666667,11.55662388223981,1.0,Medium Fast,1000000,1.0,90,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,3.5,65.0,5.3
25,Pikachu,전기,,"['Lightning Rod', 'Static']",35,55,40,50,50,90,320,53.333333333333336,17.716909687891082,1.0,Medium Fast,1000000,0.0,190,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.4,6.0,37.5
26,Raichu,전기,,"['Lightning Rod', 'Static']",60,90,55,90,80,110,485,80.83333333333333,18.800856954464127,1.0,Medium Fast,1000000,1.0,75,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.8,30.0,46.9
26,Alolan Raichu,전기,에스퍼,['Surge Surfer'],60,85,50,95,85,110,485,80.83333333333333,20.292992769809867,7.0,Medium Fast,1000000,1.0,75,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,2.0,0.5,0.5,2.0,1.0,2.0,1.0,2.0,0.5,1.0,0.7,21.0,42.9
27,Sandshrew,땅,,"['Sand Rush', 'Sand Veil']",50,75,85,20,30,40,300,50.0,23.27373340628157,1.0,Medium Fast,1000000,0.0,255,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.6,12.0,33.3
27,Alolan Sandshrew,얼음,강철,"['Slush Rush', 'Snow Cloak']",50,75,90,10,35,40,300,50.0,26.29955639676584,7.0,Medium Fast,1000000,0.0,255,0.0,0.0,1.0,0.0,0.5,4.0,1.0,1.0,0.5,0.25,4.0,0.0,2.0,0.5,0.5,0.5,1.0,1.0,0.5,1.0,1.0,0.5,0.7,40.0,81.6
28,Sandslash,땅,,"['Sand Rush', 'Sand Veil']",75,100,110,45,55,65,450,75.0,23.27373340628157,1.0,Medium Fast,1000000,1.0,90,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,29.5,29.5
28,Alolan Sandslash,얼음,강철,"['Slush Rush', 'Snow Cloak']",75,100,120,25,65,65,450,75.0,29.8607881119482,7.0,Medium Fast,1000000,1.0,90,0.0,0.0,1.0,0.0,0.5,4.0,1.0,1.0,0.5,0.25,4.0,0.0,2.0,0.5,0.5,0.5,1.0,1.0,0.5,1.0,1.0,0.5,1.2,55.0,38.2
29,Nidoran♀,독,,"['Hustle', 'Poison Point', 'Rivalry']",55,47,52,40,40,41,275,45.833333333333336,5.983774357005413,1.0,Medium Slow,1059860,0.0,235,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.4,7.0,43.8
30,Nidorina,독,,"['Hustle', 'Poison Point', 'Rivalry']",70,62,67,55,55,56,365,60.833333333333336,5.983774357005413,1.0,Medium Slow,1059860,0.0,120,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.8,20.0,31.3
31,Nidoqueen,독,땅,"['Poison Point', 'Rivalry', 'Sheer Force']",90,92,87,75,85,76,505,84.16666666666667,6.517071598672383,1.0,Medium Slow,1059860,1.0,45,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,0.5,0.25,2.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5,1.3,60.0,35.5
32,Nidoran♂,독,,"['Hustle', 'Poison Point', 'Rivalry']",46,57,40,40,40,50,273,45.5,6.370504951205464,1.0,Medium Slow,1059860,0.0,235,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.5,9.0,36.0
33,Nidorino,독,,"['Hustle', 'Poison Point', 'Rivalry']",61,72,57,55,55,65,365,60.833333333333336,6.121455890735652,1.0,Medium Slow,1059860,0.0,120,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.9,19.5,24.1
34,Nidoking,독,땅,"['Poison Point', 'Rivalry', 'Sheer Force']",81,102,77,85,75,85,505,84.16666666666667,8.801830617673929,1.0,Medium Slow,1059860,1.0,45,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,0.5,0.25,2.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5,1.4,62.0,31.6
35,Clefairy,페어리,,"['Cute Charm', 'Friend Guard', 'Magic Guard']",70,45,48,60,65,35,323,53.833333333333336,12.184917817622823,1.0,Fast,800000,0.0,150,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0,0.6,7.5,20.8
36,Clefable,페어리,,"['Cute Charm', 'Magic Guard', 'Unaware']",95,70,73,95,90,60,483,80.5,13.524668819112232,1.0,Fast,800000,1.0,25,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0,1.3,40.0,23.7
37,Vulpix,불꽃,,"['Drought', 'Flash Fire']",38,41,40,50,65,65,299,49.833333333333336,11.363929289153855,1.0,Medium Fast,1000000,0.0,190,0.0,0.0,0.0,0.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,0.6,9.9,27.5
37,Alolan Vulpix,얼음,,"['Snow Cloak', 'Snow Warning']",38,41,40,50,65,65,299,49.833333333333336,11.363929289153855,7.0,Medium Fast,1000000,0.0,190,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.6,9.9,27.5
38,Ninetales,불꽃,,"['Drought', 'Flash Fire']",73,76,75,81,100,100,505,84.16666666666667,11.451588924201255,1.0,Medium Fast,1000000,1.0,75,0.0,0.0,0.0,0.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,1.1,19.9,16.4
38,Alolan Ninetales,얼음,페어리,"['Snow Cloak', 'Snow Warning']",73,67,75,81,100,109,505,84.16666666666667,15.170329228098147,7.0,Medium Fast,1000000,1.0,75,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,2.0,1.0,0.0,0.5,4.0,1.0,1.1,19.9,16.4
39,Jigglypuff,노말,페어리,"['Competitive', 'Cute Charm', 'Friend Guard']",115,45,20,45,25,20,270,45.0,33.040379335998345,1.0,Fast,800000,0.0,170,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0,0.5,5.5,22.0
40,Wigglytuff,노말,페어리,"['Competitive', 'Cute Charm', 'Frisk']",140,70,45,85,50,45,435,72.5,33.509948771471834,1.0,Fast,800000,1.0,50,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0,1.0,12.0,12.0
41,Zubat,독,비행,"['Infiltrator', 'Inner Focus']",40,45,35,30,40,55,245,40.833333333333336,7.861650943380503,1.0,Medium Fast,1000000,0.0,255,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.25,2.0,0.25,0.5,0.0,1.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5,0.8,7.5,11.7
42,Golbat,독,비행,"['Infiltrator', 'Inner Focus']",75,80,70,65,75,90,455,75.83333333333333,7.861650943380503,1.0,Medium Fast,1000000,0.0,90,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.25,2.0,0.25,0.5,0.0,1.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5,1.6,55.0,21.5
43,Oddish,풀,독,"['Chlorophyll', 'Run Away']",45,50,55,75,65,30,320,53.333333333333336,14.337208778404378,1.0,Medium Slow,1059860,0.0,255,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,5.4,21.6
44,Gloom,풀,독,"['Chlorophyll', 'Stench']",60,65,70,85,75,40,395,65.83333333333333,13.969212178533509,1.0,Medium Slow,1059860,0.0,120,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.8,8.6,13.4
45,Vileplume,풀,독,"['Chlorophyll', 'Effect Spore']",75,80,85,110,90,50,490,81.66666666666667,17.950549357115012,1.0,Medium Slow,1059860,1.0,45,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.2,18.6,12.9
46,Paras,벌레,풀,"['Damp', 'Dry Skin', 'Effect Spore']",35,70,55,45,55,25,285,47.5,14.648663192705788,1.0,Medium Fast,1000000,0.0,190,0.0,0.0,0.0,0.0,1.0,4.0,0.5,0.5,0.25,2.0,0.5,2.0,0.25,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.3,5.4,60.0
47,Parasect,벌레,풀,"['Damp', 'Dry Skin', 'Effect Spore']",60,95,80,60,80,30,405,67.5,20.766559657295183,1.0,Medium Fast,1000000,1.0,75,0.0,0.0,0.0,0.0,1.0,4.0,0.5,0.5,0.25,2.0,0.5,2.0,0.25,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,29.5,29.5
48,Venonat,벌레,독,"['Run Away', 'Tinted Lens']",60,55,50,40,55,45,305,50.833333333333336,6.718548123582125,1.0,Medium Fast,1000000,0.0,190,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,1.0,30.0,30.0
49,Venomoth,벌레,독,"['Shield Dust', 'Tinted Lens', 'Wonder Skin']",70,65,60,90,75,90,450,75.0,11.547005383792516,1.0,Medium Fast,1000000,1.0,75,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,1.5,12.5,5.6
50,Diglett,땅,,"['Arena Trap', 'Sand Force', 'Sand Veil']",10,55,25,35,45,95,265,44.16666666666666,26.83540364684103,1.0,Medium Fast,1000000,0.0,255,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.2,0.8,20.0
50,Alolan Diglett,땅,강철,"['Sand Force', 'Sand Veil', 'Tangling Hair']",10,55,30,35,45,90,265,44.16666666666666,24.73470346609305,7.0,Medium Fast,1000000,0.0,255,0.0,0.0,1.0,0.0,0.5,2.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,0.5,0.5,0.5,0.25,1.0,0.5,1.0,0.5,0.5,0.2,1.0,25.0
51,Dugtrio,땅,,"['Arena Trap', 'Sand Force', 'Sand Veil']",35,100,50,50,70,120,425,70.83333333333333,30.05781466145239,1.0,Medium Fast,1000000,1.0,50,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.7,33.3,68.0
51,Alolan Dugtrio,땅,강철,"['Sand Force', 'Sand Veil', 'Tangling Hair']",35,100,60,50,70,110,425,70.83333333333333,26.523050771399248,7.0,Medium Fast,1000000,1.0,50,0.0,0.0,1.0,0.0,0.5,2.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,0.5,0.5,0.5,0.25,1.0,0.5,1.0,0.5,0.5,0.7,66.6,135.9
52,Meowth,노말,,"['Pickup', 'Technician', 'Unnerve']",40,45,35,40,40,90,290,48.333333333333336,18.856180831641268,1.0,Medium Fast,1000000,0.0,255,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.4,4.2,26.3
52,Alolan Meowth,악,,"['Pickup', 'Rattled', 'Technician']",40,35,35,50,40,90,290,48.333333333333336,19.29306150465037,7.0,Medium Fast,1000000,0.0,255,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,0.4,4.2,26.3
52,Galarian Meowth,강철,,"['Pickup', 'Tough Claws', 'Unnerve']",50,65,55,40,40,40,290,48.333333333333336,9.428090415820632,8.0,Medium Fast,1000000,0.0,255,0.0,0.0,0.0,1.0,0.5,2.0,1.0,1.0,0.5,0.5,2.0,0.0,2.0,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.4,7.5,46.9
53,Persian,노말,,"['Limber', 'Technician', 'Unnerve']",65,70,60,65,65,115,440,73.33333333333333,18.856180831641268,1.0,Medium Fast,1000000,1.0,90,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,32.0,32.0
53,Alolan Persian,악,,"['Fur Coat', 'Rattled', 'Technician']",65,60,60,75,65,115,440,73.33333333333333,19.29306150465037,7.0,Medium Fast,1000000,1.0,90,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,1.1,33.0,27.3
54,Psyduck,물,,"['Cloud Nine', 'Damp', 'Swift Swim']",50,52,48,65,50,55,320,53.333333333333336,5.647024782032472,1.0,Medium Fast,1000000,0.0,190,0.0,0.0,0.0,0.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.8,19.6,30.6
55,Golduck,물,,"['Cloud Nine', 'Damp', 'Swift Swim']",80,82,78,95,80,85,500,83.33333333333333,5.647024782032472,1.0,Medium Fast,1000000,1.0,75,0.0,0.0,0.0,0.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.7,76.6,26.5
